Date,Open,High,Low,Close,Volume
2020-01-02,75.59,76.09,75.37,75.73,78212823
2020-01-03,75.74,76.33,74.88,75.6,88388230
2020-01-06,77.19,76.69,76.4,76.54,71292593
2020-01-07,79.07,80.16,77.25,78.7,137981938
2020-01-08,78.61,79.6,77.27,78.44,74020968
2020-01-09,78.36,79.53,76.81,78.17,87990273
2020-01-10,80.47,81.73,79.17,80.45,126836835
2020-01-13,81.87,81.81,81.44,81.63,58764671
2020-01-14,79.9,81.59,80.42,81.0,149605991
2020-01-15,81.73,82.78,80.94,81.86,43480165
2020-01-16,81.35,81.77,80.71,81.24,153906656
2020-01-17,80.12,82.22,79.04,80.63,69090636
2020-01-20,81.21,81.63,80.45,81.04,72777725
2020-01-21,78.23,78.73,77.9,78.32,37655739
2020-01-22,76.67,77.72,74.18,75.95,66858039
2020-01-23,75.88,75.73,74.75,75.24,52908649
2020-01-24,73.74,74.52,73.33,73.93,62892750
2020-01-27,74.34,74.64,74.16,74.4,75911262
2020-01-28,73.22,74.28,72.22,73.25,117637291
2020-01-29,71.27,72.65,70.24,71.44,87141286
2020-01-30,73.46,73.41,73.36,73.39,90700249
2020-01-31,72.85,73.74,72.55,73.15,51742613
2020-02-03,72.85,73.66,72.93,73.29,56384133
2020-02-04,71.71,72.0,70.95,71.47,164675924
2020-02-05,71.07,72.37,69.29,70.83,59764331
2020-02-06,70.72,71.13,70.92,71.03,155550858
2020-02-07,69.95,69.89,69.34,69.61,72767175
2020-02-10,69.9,70.28,70.0,70.14,80270695
2020-02-11,69.53,70.45,68.43,69.44,123055504
2020-02-12,69.43,69.85,68.4,69.13,133385897
2020-02-13,68.42,69.32,67.55,68.44,76720152
2020-02-14,70.95,71.27,70.27,70.77,68661746
2020-02-17,70.61,71.61,70.01,70.81,78423314
2020-02-18,69.45,69.92,69.12,69.52,91805522
2020-02-19,70.53,71.51,69.7,70.6,114549943
2020-02-20,68.83,69.65,68.57,69.11,80333071
2020-02-21,69.36,70.17,68.68,69.42,102723813
2020-02-24,66.47,67.58,66.48,67.03,154444272
2020-02-25,65.31,66.49,64.48,65.48,93411390
2020-02-26,65.67,66.83,64.7,65.77,90844620
2020-02-27,66.6,66.93,66.46,66.69,43681519
2020-02-28,66.87,67.13,66.77,66.95,27999800
2020-03-02,66.84,67.83,65.91,66.87,93675785
2020-03-03,66.73,66.96,66.16,66.56,77212375
2020-03-04,65.15,65.16,64.52,64.84,65272862
2020-03-05,63.83,65.55,62.55,64.05,88402612
2020-03-06,63.16,64.01,63.13,63.57,78282803
2020-03-09,64.47,65.48,64.18,64.83,125914303
2020-03-10,65.11,65.33,65.24,65.28,83007734
2020-03-11,63.15,63.45,63.08,63.27,59484758
2020-03-12,63.42,64.74,62.63,63.69,119170583
2020-03-13,62.85,63.64,62.95,63.29,73525847
2020-03-16,62.42,62.94,62.21,62.57,98998442
2020-03-17,63.38,64.05,62.58,63.31,66255942
2020-03-18,64.75,64.79,64.28,64.54,61840512
2020-03-19,65.47,66.27,65.08,65.67,82943257
2020-03-20,64.59,65.46,64.0,64.73,80609853
2020-03-23,64.1,65.79,63.06,64.42,97165941
2020-03-24,64.85,66.3,63.42,64.86,72026286
2020-03-25,65.75,66.84,65.26,66.05,38472570
2020-03-26,65.74,65.69,65.38,65.53,67449548
2020-03-27,64.74,65.56,65.17,65.37,110169140
2020-03-30,63.99,64.33,63.9,64.12,71203288
2020-03-31,62.89,63.34,62.24,62.79,72670540
2020-04-01,63.82,64.35,63.16,63.76,118990070
2020-04-02,66.32,65.78,64.95,65.36,60322197
2020-04-03,65.46,65.45,65.21,65.33,43266045
2020-04-06,66.2,66.77,66.36,66.56,75206449
2020-04-07,67.02,67.23,66.87,67.05,66076942
2020-04-08,65.69,67.48,65.17,66.33,54488567
2020-04-09,66.78,67.16,66.46,66.81,74764117
2020-04-10,68.4,69.26,68.17,68.71,97620908
2020-04-13,69.06,69.22,68.23,68.72,79899853
2020-04-14,70.5,71.61,69.82,70.71,90675016
2020-04-15,67.39,67.57,67.3,67.44,165645923
2020-04-16,68.25,69.45,67.53,68.49,69919032
2020-04-17,69.3,68.95,68.35,68.65,89642442
2020-04-20,68.22,68.82,67.86,68.34,65418434
2020-04-21,69.18,68.89,68.11,68.5,57165213
2020-04-22,66.4,66.53,65.69,66.11,63467399
2020-04-23,66.07,66.78,65.02,65.9,66220230
2020-04-24,66.51,66.39,66.36,66.38,92599131
2020-04-27,68.34,68.42,67.97,68.19,205227630
2020-04-28,66.91,68.86,66.37,67.61,60224067
2020-04-29,66.58,66.86,66.51,66.68,67886644
2020-04-30,66.44,67.99,64.28,66.13,78197700
2020-05-01,67.26,67.69,66.87,67.28,93954345
2020-05-04,67.21,69.02,66.44,67.73,89113404
2020-05-05,67.12,67.68,66.59,67.14,134038592
2020-05-06,68.43,68.09,67.53,67.81,30384500
2020-05-07,68.44,68.93,67.04,67.98,30867921
2020-05-08,69.2,69.73,68.72,69.22,65768314
2020-05-11,68.76,68.51,68.3,68.4,124388473
2020-05-12,67.92,68.95,67.16,68.05,42872484
2020-05-13,67.01,67.78,67.48,67.63,24081321
2020-05-14,65.57,66.51,65.3,65.9,100782144
2020-05-15,66.87,66.72,65.89,66.31,88407104
2020-05-18,66.57,67.09,66.25,66.67,51852651
2020-05-19,66.64,67.93,65.53,66.73,54069680
2020-05-20,66.39,66.78,66.22,66.5,54412393
2020-05-21,65.53,65.7,64.02,64.86,83822676
2020-05-22,64.99,64.73,64.11,64.42,62424843
2020-05-25,64.84,64.9,63.25,64.08,97720856
2020-05-26,63.15,63.62,62.78,63.2,25601188
2020-05-27,63.17,63.16,62.98,63.07,56925801
2020-05-28,63.06,63.59,63.57,63.58,51114481
2020-05-29,66.31,66.34,65.23,65.79,72381675
2020-06-01,65.63,66.51,65.58,66.05,64668248
2020-06-02,66.48,66.49,66.32,66.41,110346669
2020-06-03,65.98,66.67,66.07,66.37,38120596
